Emotion,Text
anger,"My partner without discussing with me the situation decided it was time for us to have a break and went ahead and arranged his own life for the next 6-12 months, then told me the day before it was about to happen having been tolerant and friendly for the preceding week."
sadness,"Doctor , I slipped and fell on my way to school . The ground is so slippery from the snow . It seems I can't move my left arm now . "
joy,When my brother was born.
neutral, What is it ? 
joy,"The celebration of sexuality found in the works of Sidur , Neizvestny and others , stemmed partly from the mischievous delight in taunting society 's taboos . "
anger, a bit ? I'm extremely annoyed that he didn't phone me when he promised me that he would ! He's such a liar . 
joy, Fantastic ! I didn't want to come back . 
sadness,"Inevitably some become despondent , fearing they will never work again . "
fear," I don't know . I saw him the first time Tuesday . He was at the cafe . I noticed he was looking at me a lot . Not just the usual looking , but staring. He just kept staring at me . He didn't stop . "
anger, I want my money back for the delivery . 
anger,"I get angry when someone imputes on me things I never can do, naturally negative. Servility, \connections\"", impudence, traits that get me mad."""
anger,I recall thinking that I had to be home soon or Mother would be angry at me for missing supper . 
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way."
fear,"Playing NOW on Hardest: BYZPO Radio Show Session #17. Tune in, listen and enjoy."
joy,When my term paper was evaluated.
sadness,When I was told that my friend's wife had cancer.
sadness,When our dog died.
sadness,"` It is a long time since anyone cared for you as tonight you cared for Ana , is it not ? "" he asked softly , his hand coming to tilt her downcast face . "
joy,A party with friends on New Year's Eve.
joy, I think I will . Thanks for the info . 
fear,When we got lost in Florence and the coach did not turn up until midnight.  I had no place to go to and there were strange reports at the police station.
anger,"When a person is privileged in account of situations that are unjust, and disloyal to colleagues and friends."
fear,A few weeks back my daughter had very high fever and I was scared that it might lead to brain damage or convulsions.
sadness,I was selected to do a rest for a foreign ballet but I did not have the money to do it.
fear,"Then she remembered his horror when he 'd said , ` Don't tell me you 're a virgin ! "" and her heart closed in on itself like a wounded animal . "
anger," What do you expect ? I've been working for you for three years , and you've never given me a holiday . I don't feel well today , because I have a terrible headache . I am not in the mood for being gentle and polite . If you can't stand it , it's your problem . I am not going to change , because I think it suits you best . "
neutral, About what ? 
sadness,"When my boyfriend was changing his behavior there was something wrong, I felt sad, because it's desagreable when a relationship is ending."
anger,I am fed up with Jack . He is so weak in dealing with other people and always eats dirt . 
sadness, That ’ s a little troublesome . 
anger,"But I don't want an indignant boyfriend on my doorstep breathing fire . "" "
neutral, Definitely . 
sadness,When I heard that my friend had started drinking beer.
fear,"My father was away from home and he did not come back when he was expected, he came back several hours later than expected."
neutral, How do you know whether you should hit the solid or the striped one ? 
anger,"I wanted to go to a friend of mine who had a party; at the moment I wanted to leave, my father said I couldn't go because he needed me for some work in the afternoon."
fear,Strictly avoid frightening ideas 
joy,"Riding home from school after completing two midterms in two days, and feeling I did well on them."
anger,"` Because she still sounded mad at me , and I thought you might try to dissuade me . "
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less”"
fear,I felt afraid just before receiving the question paper of the part II exam.
joy,I am happpy when I get good results in the field of academics or athletics.  
sadness,I felt sad and depressed when I heard that our cat had died.
fear,He turned and saw the waiter bearing down on him with an anxious look on his face . 
anger, That works for me ! 
fear,Finding out that my health condition may be against my attending university lectures.
sadness,My best friend had a relatively severe illness.  I was sad because she was suffering.
joy, That ’ s a good way to think about it . 
anger,Found out that someone I knew well has been misunderstanding me for 2 years.
anger, How can believe it if the same excuse was used twice within a week ? 
neutral,"Hi Bill , I saw your grandma yesterday . "
sadness,Hearing about a friend back home that had to have his stomach pumped because he had overdosed on pills.
sadness,LEE SHARPE last night relived the anguish of discovering he had a disease which he feared could not only end his career -- but kill him . 
sadness,"Talking to a pensioned and bitter \street order\"" policeman."""
neutral, Wow ! 
neutral,:) @thomestifanos security is a very juicy business. 
neutral, I see . 
anger,When people would tell me that my ex-girlfriend was playing around on me.
sadness,I was so desolate about Chip . 
anger,"Peter says : ` The Poles were furious that we wanted to show prostitutes in their hotel bar , claiming they never had them . "
sadness, That ’ s a pity . We can arrange another time hopefully . 
fear,This Duke game is going to give me a panic attack and it hasn't even started.. @holldoll2 
anger,"I quarrelled with my brothers (twins) at home on saturday.  One of them studies in a private school and the other one is repeating his form five.  They do not know what they are doing.  They follow every word of their teachers, books and systems.  They always try to rationalize their bad acts by some game and they are satisfied with their awkward life.  I have tried to persuade them very often but have failed.  This time I had a fight as they have no voluntary spirit (they did not polish the floor)."
joy, Yeah . It is incredible ! Is it the work of Qi Bakshi ? 
sadness,"When my grandmother, who has been living with us for 14 years, had a stroke and was left paralysed on one side. She has been quite close to our family and to see her suffer in this way makes me feel really sad."
anger,"The landlord had selected a new lodger on her own, while we used to do that it was not what she had done, but how she did it that made me angry."
neutral," Well , I like playing the violin . "
sadness,"After having left the company of someone who gave me a lot of support and made me laugh, found myself alone for days on end."
joy, Wow . We don't get to see this in the city ! 
anger,I was angry with a person who behaved terribly at a ball offending her relatives.
joy,"Modigliani , delighted with the atmosphere of warmth and sincerity , resumed his friendship with Soutine and her . "
neutral, What about ? 
neutral, How are you feeling ?
fear, Is it gonna hurt ? 
sadness, What kind of solution can I have now ? I nearly go crazy now . 
fear,"She started like a frightened cat , and looked up at him wide-eyed . "
sadness,A woman I know is slowly dying from cancer. Observing this process makes me sad.
joy,I felt very happy when I won the football pools.
anger,"When my father phoned me to come home from my vacation, since he no longer had the time to look after my garden and animals."
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.
sadness," Oh , that's terrible ! What bad luck ! I wish we had never come to this country.But , if it isn't the strikes and the revolutionaries , it's the earthquakes.Our operations here are finished ! "
joy,When I had achieved a goal indirectly. I work for CAL Football and our 2nd win of the season was very gratifying and brought our joy because of the hard work involved and the fact that no one expected we would win.
joy,When I received a beautiful birthday gift form my parents.
anger,hate U
joy,"After my vacations, one day after a lecture it occured to me to buy a rose for my mother.  We went together to a pub and my mother told me that she would be getting married next Spring.  I did not known about it and so was all the more glad."
neutral, Goodbye . 
joy,After I had been away for a long time a friend told me that I had passed all my written examinations.
neutral,"Please excuse me , but I really have to be going . "
sadness,When my best friend promised to come at my house and I had to prepare so many expensive things for her but only to learn at last that she would not turn up.
anger,"When we still attended school, my brother and I usually went to see our aunt and to show her our term's report. She rewarded us with money. Although my reports were as good as my brother's, he got more money."
neutral, You come dressed in anything from the sixties . 
neutral," Oh , we never speak Spanish in class ! Miss.Parker speaks to us only in English . "
neutral,I've moved . 
fear,"One evening I stayed at home all alone. As we lived on the ground floor, I was often afraid of burglers."
joy,"You look so happy , Anna . Any good news ? "
joy, Here is a good place . Let's get out . 
anger,My sister once stole my mother's money and made her very angry.  After this my mother would beat her up for unreasonable reasons.  One day my sister lent her book to a friend without telling my mother about it.  When my mother learnt this she beat her up and even threatened her with a pair of scissors.  
anger,"I am spell-bound by the sound of French , infuriated when I can't read it in the books I am given . "
anger, I know ! I was in ankle deep water trying to get to my car that day ! The handyman definitely has his work cut out for him . 
anger,In a course I thought that I deserved good marks but I only got ordinary marks with no justification as to why I was given these marks.
joy, Forsythia . It's also called winter jasmine which is the symbol of the spring's arrival . 
fear,"I felt fear once, when the car in which I travelled directed towards the precipice along the road."
neutral, What ? 
sadness," Unfortunately , I missed a chance to see a classic movie . "
neutral," No , how much is it worth ? "
sadness," Yes , but there is nothing inside the drawers or on the desk . "
neutral,Are you telling us a lie again ? 
anger,When my boyfriend sat up half the night playing computer games with a friend.
joy,I was very happy when I got the message that I had been accepted as a student in medicine.
sadness,A few months a close relative of mine died.  I had never expected this to happen and was sad for a few months.
joy, You can ask me any question at any time . 
joy," And my first nephew . He looks a lot like you , mum . He does . "
neutral, How come ? 
sadness,But he 'd become depressed about his exams and couldn't concentrate on his work . 
sadness,That certainly didn't sound serious enough to account for her great grief . 
neutral,Can you study with the radio on ? 
sadness,Years ago I fell in love for the first time. as natural for every school-girl I was day-dreaming. Later (after 3 years) we left each other. No one was to blame but I felt deep sadness. Even now I remember about it quite often.
anger,At an office an application that I had made was turned down because of a scrupulous interpretation of the rules.
joy, What's your favorite flower ? 
sadness,` I am desperately sad that our scheme did not come to fruition but I am glad that someone will take it over and bring these jobs to the area . 
fear,Before the exam.
sadness,"I tried my level best to care for my client, I took an appointment with a doctor and before meeting the doctor he expired - a poor small boy from Uttar Pradesh."
sadness,When I was told that my father had passed away.
neutral," If I were you , I would put the whole matter on the table . "
neutral, And ? 
anger,"Disagreements with mother.  When I moved from KankaanpSS, she had promised to help me move but broke her promise because of some hindrance. "
fear,@tonyreilly I will not be attending  today due to severe #shame #hangover. I will send my best wishes though. Love'n'bubbles
joy,You look so tan and healthy ! 
fear,@nicolescherzy @nicosherzinger &  &#xA;&#xA;Add those three things up and you have a symptom called #NERVOSO &#xA;&#xA;u wanna learn [:
sadness, My dissertation . I put it somewhere last night and I can't find it now . 
fear,"Sitting alone in a quiet room, concetrating on things happening around you. Thoughts come into my mind which make me afraid."
joy,"I went swimming , and I was so happy I cried into the sea for three-quarters of an hour . "
anger," The door bell doesn't work , the sink is leaking "
fear,Crossing a street of several ways the cars began to move and I thought that I was going to be trampled.
neutral," Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! "
anger,"When I was forced to call the telephone company about a bill concerning a disconnected phone belonging to my landlord.  The bill was four months overdue and in the meanwhile he had been using my phone, he seemed to have no intention of having his own phone reconnected."
anger," Oh , so it was my fault , was it ? If I hadn't warned you in time it would have been much worse . "
sadness,"On the last day of my school life I was very sad, specially on the farewell party day.  I felt sad to leave behind my beloved teachers and friends."
fear,"When I impregnated a certain girl, I thought that I would be forced to marry her or go to court."
joy,Watching the Asian Olympic game (China winning).
fear,"John 's father came down from Cheltenham to see her , grieving and concerned for her future . "
neutral, Hi . 
anger,They promised us a sea view . 
sadness,The loss of a very good friend.
joy,When I came across an old friend whom I had not seen for a very long time.
sadness," Oh , I'm terribly sorry . but I couldn't find the yoghurt I saw here last time . "
neutral, It'll begin at nine o'clock sharp . 
joy,Always when I meet the person I love.
sadness,Following this there was considerable despondency amongst the committee as there seemed to be little hope for the future . 
sadness,As a child - having a dog - it getting a disease and dying.
neutral,Thank god you showed up when you did ! He ’ s insane ! Do you think we should call the police ? 
joy,After each successfully passed exam I am happy.
joy,I shot the decisive goal in an ice-hockey match.
sadness,When my grandparents moved to another part of the town.
anger," to be honest , I'm a bit fed up . "
neutral, No wonder . 
sadness,"Christmas Eve: there was a tension between my parents, they did not even try to restore a harmonic atmosphere. Mother stayed in her room almost the whole day. I felt alone and was very sad."
neutral,What do you like to do in your spare time ? 
sadness,A friend told me that he had suffered in love and in academics.  I shared his sadness.
joy,Passing an exam I did not expect to pass.
anger,In her incensed whisper she called me names I didn't understand . 
anger,Both her mother and Lisa had been cross with her ; they both had felt she ought to settle down . 
fear,"The girls exchanged nervous glances , thinking that it must be Miss Hardbroom come to reprimand them for being out of bed . "
anger,I'm going crazy . 
fear,"Some says is #Weakness i think its Something Normal were humans Not Gods , be Scared make mistakes the more Experience the more U Grow"
sadness,Treatment to become pregnant with a negative result.
joy,"Suddenly , to her relief , the telephone rang , Joanna picked it up , wrote down the message , and came back to the table , looking elated . "
neutral, What is it ? 
neutral, Ha ! It's not like you've ever been one to beat around the bush . 
joy, That ’ s it . Thank you . 
anger,I was waiting to receive the participation on the profits and did not receive it.
anger," This is ridiculous ! In Taiwan , it is much easier to get medicine when I need it . "
anger, Stop picking on me . I am going to be mad . 
joy,I got a present from a great friend (a dog).
fear,"One night, walking along a park, I began to think that some roughnecks would appear suddenly with knives and things like that."
fear,Walking in the dark and thinking about ghost stories.
anger,There was a hint of exasperation in his voice . 
neutral," Eleven , ... "
fear,"They do care about others and are concerned about their country 's future . "" "
sadness," now that I look back at it , it wawsn't that big a deal . I shouldn't have lost my temper . "
sadness,"It was the time I went home for my holidays only to find that my sister had passed away.  The news had been hidden from me, so that I could take my exams."
anger,"He seemed exasperated , though well in control . "
joy,"` Now that I 've seen the finished copy I 'm delighted that I encouraged Susan to write it , "" said Mrs Major . "
fear,   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny
joy," Great idea ! Peter , I could use the drink . "
sadness,In the longer term the offspring of depressed mothers are more likely to suffer from childhood depression . 
neutral, My phone ? 
sadness,"A close friend travelled to another country. When I knew that he would only come back after many years, I felt very sad."
anger,"At once regretting that she had let herself become riled , she delved into her bag and came out with a bar of soap . "
neutral," I think so.Yes , they get along so well . "
joy," Got it . Thank you , Shirley . "
neutral, Follow me . 
joy,"Vitor went down on his hunkers and , much to the child 's glee , spent a minute or two admiring the toy . "
anger,I had gone home for a week-end and when I came back I found that my clothes and my bedding had been stolen.
joy,He was exhilarated when he heard Ornette Coleman improvising free jazz with his plastic saxophone at a club .
sadness,It was on 9th January 1983 when I received a message from home telling me that my father passed away on the previous day with a history of cancer of the oesophagus. This time I was doing my third year of my Secondary School.
fear,"A rainy day, I was cycling downhill and a car door suddenly opened and while trying to avoid it the back wheels of my bike got caught in the tram tracks.  I somersaulted but had no injuries."
anger,When I got the feeling that I had to do all the housekeeping while my boyfriend didn't do anything. This happened in a period of exams when I had to study very hard.
neutral, Parents usually give their children more freedom in my country . Sometimes they give them too much freedom . 
joy, Amazing . The sun is almost gone and yet there is still color everywhere ! 
sadness, My mistake . 
joy,"It was also due to a barbaric delight in high-sounding verbiage , and probably this was the most powerful reason for its use . "
sadness,His grief-stricken widow destroyed all his cricket clothes and equipment . 
joy, Do you guys do anything special ? 
fear,"Aston Villa are having a great run , but they hold no particular horrors for the Norwich players . "
sadness," No , I'm not . "
fear,"When I had to give a speech about some historical event, to an audiece of about 200 people my own age whom I did not know."
fear,2 TIX TO TONIGHT'S @OfficialPWG BUT NO FUCKING RIDE!!! FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK
fear,"If I said I nothing, I'd be a lying. I'm deathly afraid of grown, straight men with uncomfortably high voices. #WhyDoYouSoundLikeThat"
fear,"The week before I entered to army, when we were being selected. During 5 days I had to pass 10 hours a day waiting for the answer, which at last was the worst. The fear of being convoked, of hearing the fated phrase, was constant."
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
joy,When I saw my family after a separation of one year.
joy,"` Poor things , no life of their own , "" they say , simultaneously thrilled and appalled as they pore over the latest ` revelations "" in the Mail or Express . "
joy,Meeting best friend at the airport (boyfriend) who I had missed terribly.
neutral," On the contrary , very exciting . "
fear,"go this season  needs you, the word can not happen w/o you"
joy,What a nice tie you are wearing ! 
anger,I'm tired of you always wearing my clothing ! 
joy,Winning Queensland Chess Championship.
fear,Confronted outside a party by some very nasty character - gesturing to a car full of mean-acting friends - felt in danger.
fear,Question: Do you live in a world of or #Love
sadness,"I felt very sad when I left home because I could not stand it any longer. I do not regret it, but I missed my little sister very much (and she missed me). These feelings wear off over time."
sadness,When my grandmother died; I had a stronger relation to her than to my mother.
joy, How's your married life ? 
neutral, Thanks . 
fear,Floyd Patterson has expressed dismay over the current treatment . 
sadness, Terrible . 
sadness,A friend of mine is having psychiatric problems because of his mother's death ages ago. He is really quiet and because it relates back to his childhood I feel sadness for him. He doesn't lead a normal life and it just seems unfair.
anger,"` Damn ! "" she muttered in exasperation . "
sadness,"I was miserable with cold , but although I was prepared to admit that I was miserable , I wasn't prepared to admit that my misery had any connection with cold . "
sadness,I'm worrying that she may be lost . 
anger,When I heard that I was not to be provided with another pair of medical uniform.
anger,As for disgust.
neutral, oh . 
anger,"When I could not reason my friend, it angered me."
sadness,When I got a message that my child was not feeling well.
joy,When I first came to the campus.
joy,"I felt joyful when my boyfriend met me at the station, while at first he had said that he would not do that."
neutral,Who is it ? 
neutral, $ 50 . 
fear,"Oh , my god . What happened ? Are we dying ? "
joy,"Merry Christmas , Bill ! "
fear,water level rising near my home  #Flooding
sadness,"Since many parents were miserable at being separated from their offspring and it would be a struggle for some to pay money for their misery , they finally decided to have them home again . "
neutral, What are you talking about ? Let me see that ... What are horoscopes ? 
sadness,"Geographical moves have been found to be third most important in a list of ten precipitants concentrated in the month before the onset of depressive symptoms , in forty consecutive clinically depressed patients . "
joy,A party with no worries (i.e. no tests homework etc.) many friends were present and good music.
neutral," you mean you got working experience , right ? "
sadness, No . I couldn ’ t find a policeman . 
sadness, I don ’ t know what happened to me . I just lost it . 
fear,"I was sleeping when I heard the neighbours screaming, I peeped through the window and saw a thief  trying to enter my neighbour's house."
joy,I didn't like my former fob and felt joy when I received a telegram offering me a new one that I though better and for which I had been waiting.
sadness,I did not quite succeed in breast feeding my baby.
neutral, Sorry . How far is the museum ? 
sadness,My cat died from an illness.  It had been with us for 7 years.  It was a lovely cat.  It had been ill for one or two weeks and the veterinary surgeon had told us that it was dying.
sadness,"A very close friend from Victoria visited me over the holidays. Having enjoyed his company immensely over 10 short days, I was overwhelmed by sadness when he left to return to Victoria "
anger,"When another patron tried to step in , the enraged lover flew at him . "
fear,I got caught shoplifting a package of gummy bears.
sadness,"` Don't be despondent , "" she told me . "
fear,"Walking at friday night through Nijmegen, going to a pub or a disco."
anger,I received a poor grade on a midterm even though I got all the right answers and knew the material. I went to the TA to try to raise my grade and he wouldn't do it.
neutral, Haven't you heard that he is in prison ? 
joy,Pretty ! Say beautiful rather . Can you imagine any thing nearer perfect beauty than she altogether-face and figure ? 
sadness, I had meetings back to back all morning . And phone rang off the hook from the minute I walked into the office . 
fear,I had a cousin whom I loved so much. Unfortunately she passed away suddenly and one time I had a dream in which I was talking to her yet she is dead.
sadness," I have done a lot of reading comprehension exercises , and I also spend much time in memorizing English words . "
fear,"When your back from a busy day, didnt get to watch the match and than realize I hope I recorded  :| "
joy," Apparently Skipper landed , felt extremely pleased with himself and threw an enormous buck with a twist in it . "
anger,Anger with boyfriend's best friend for alienating me and blaming me for personality changes in my boyfriend and changes in my boyfriend's attitude to him and his obvious egoistical attitude himself in doing so. I also lost one of my best friends - his girlfriend.
anger,When I saw a few people beating a man who seemed to be a stranger.
joy, I would like to compliment you on your diligence . 
fear,"Mr Hamilton said : ` I am deeply concerned at what you have told me and I shall ask for immediate steps to be taken for normal decencies to be observed . "" "
neutral, You can say that again ! It's much more modern than people imagine . Where are you from ? 
sadness,I remember being sad whe my aunt's child died (2 days old).
anger, See you . 
neutral, I said it's a lovely day . Why don't we go for a walk ? 
sadness,I was told that a friend of mine was going to Mexico for good.
fear,I was brave enough ta b born in da world none
neutral, What is it ? 
sadness,My sister lost one of her twin sons (my first nephews) and then the older one died a week later.
neutral, When ? 
neutral," Yes , The SARS epidemic is not under effective control yet . So I'd better not risk it . "
fear,What would you be doing right now if you wasn't afraid... Don't let stop you!!!!
anger,When I learnt that my younger sister had been expelled from secondary school because she was pregnant.  That was the second time that this happened in the family - the first time it had been my elder sister.
anger,I can't stand being with you any more . I'm sick of your drinking . 
fear,"When I had gone for a boxing tournament which ended at 2 o'clock in the morning.  I was alone on my way back, and I could hear the barking of the dogs, the nocturnal animals and the sound of my     own footsteps.  There had been a rumour  circulating that there were ghosts in that area."
neutral, And later ? 
fear, Hello ? Can you help me ? My computer ! Oh man ... 
anger,"When my friends left without waiting for me, after we had arranged to go out together."
sadness,When I woke up after a nightmare.
fear,I am afraid of my academic results as I will face several problems.  I am scared of my limitations and the unlimited problems and I do not know how to cope with them.
anger," The heating controls don't work anymore , so it always feels like it's about 100 degrees in the car — even in the summer ! "
joy,"When I got an unexpected letter from  a guy, who had been my school mate."
sadness, I really wish I hadn ’ t done it . 
sadness,When I knew about my sister's in law finacial situation and what she was facing.
sadness,My girlfriend left the house in which we lived together a few months ago. This made me very sad.
neutral,"OK , Hello ! "
anger,I once was accused of falling in love with someone's girlfriend which was not true because the girl was just a friend of mine.
sadness,"Finding out that China is poor, so we cannot have good reference books."
joy,These days he is quite happy travelling by trolley . 
neutral," All right , I will explain it to you later on . Now scram . "
neutral, Of course . 
sadness,"Squeezed like despondent sardines , they looked as if they were huddling for warmth . "
joy,"My boyfriend suffered form ill health for some months, this week the physician told him that he was restored to health."
sadness,"Hey , Cindy , I ’ m so sorry about yesterday . I shouldn ’ t have yelled at you in front of everyone . "
fear,Ahhhh!!! I'm worried about the dentist why did I put it off so long!! 
sadness, Nah ! This is boring ! I ’ m gonna go play Killer Zombies on my PlayStation ! 
joy,I felt extreme joy the day I was baptized. I was one with God.
neutral, I agree . Are there any commercials on the TV ? 
joy,I was happy that I was having my own baby but sometimes I used to cry for nothing and I was easily upset . 
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
neutral, I won't . 
neutral," That ’ s right , we bought it the same day we came on the market . "
anger,"His smile was patient , peeved , and very sad . "
fear,"For Swift , there is a connection between cosmetics and prostitution ; the carefully assembled exterior often conceals both physical horror and moral contamination . "
sadness,When one of my closest friends died unexpectantly.
neutral," Uh , yes . "
anger,"The enraged animal charged into Christopher Rogers , pinning him to the ground . "
fear,I was afraid to walk through the forest one day when I dropped off the bus around 6.30 pm.
neutral," Oh no , Ari . I didn ’ t mean for you to pay for me when I invited you to go tonight . Let ’ s go Dutch . I ’ ll pay my own way . I insist . "
neutral, Colorado . 
anger,"When I was house-hunting: Another person got a flat that I would have liked, too, because he heaped a floot of words on the letter."
neutral, Everyone from school . 
neutral, Ah ... 
sadness,"For the owner , it can mean heartbreak at the loss of a family pet . "
anger,"Robyn leant against the door to the office and found herself experiencing the old , familiar surge of deep annoyance . "
anger,"There was one teacher who used to get so mad that she would throw slates around , with the whole class ducking out of the way . "
anger,I reached the bus stop and realized that I had forgotten my bus pass.
sadness,I felt very sad when a friend of mine failed the final exam and she could not be accepted at the institution of learning.
sadness," I see . Oh , wait . Ma'am , I'm sorry . These slacks were on sale . "
joy,When you told everyone in the last lecture you will do all lectures again in English and everybody can come (not only English classes)
neutral, So you are . 
